Brewery1, Beer Name, Brewed in (location), ABV (alcohol volume), Style, Score, Ratings, Availability, Added On
1188 Brewing Company,1188 Disruptor,Oregon,6.50%,Doppelbock,3.35,Okay,Rotating,07-21-2014
1188 Brewing Company,Big Al's Amber,Oregon,not listed,American Amber / Red Ale,3.77,Very Good,Rotating,04-02-2015
1188 Brewing Company,Black Oak Instigator,Oregon,8.00%,American Porter,0,,Rotating,10-15-2014
1188 Brewing Company,Box Canyon Pale,Oregon,5.00%,American Pale Ale (APA),0,,Rotating,10-15-2014
1188 Brewing Company,Mazelnut Brown Ale,Oregon,not listed,American Brown Ale,4.75,World-Class,Fall,10-07-2014
1188 Brewing Company,Wild Horse IPA,Oregon,not listed,American IPA,3.71,Good,Year-round,04-02-2015
12 Acres Brewing Company,12 Acres Pale Ale,Ireland,4.60%,American Pale Ale (APA),3.88,Very Good,Year-round,12-31-2014
12 Acres Brewing Company,Golden Harvest Pale Ale,Ireland,4.20%,American Pale Ale (APA),3.51,Good,Year-round,10-08-2016
12 Gates Brewing Company,12 Gates / Community Beer Works Resting Peach Face,New York,3.60%,Berliner Weissbier,4,Exceptional,Limited (brewed once),09-26-2017
12 Gates Brewing Company,12 Gates White,New York,5.30%,Witbier,4,Exceptional,Rotating,01-08-2016
12 Gates Brewing Company,Ales for ALS Double IPA,New York,9.60%,American Double / Imperial IPA,3.47,Okay,Rotating,01-12-2017
12 Gates Brewing Company,Apricot Wheat,New York,4.80%,American Pale Wheat Ale,3.46,Okay,Spring,04-06-2017
12 Gates Brewing Company,Bleeding Heart Red Rye,New York,6.50%,Rye Beer,3.94,Very Good,Rotating,03-04-2016
12 Gates Brewing Company,Buffalo Tripel,New York,9.60%,Tripel,3.94,Very Good,Rotating,01-12-2017
12 Gates Brewing Company,Cherry Vanilla Wheat,New York,4.80%,American Pale Wheat Ale,3.27,Okay,Rotating,04-06-2017
12 Gates Brewing Company,Coffee Porter,New York,5.80%,American Porter,3.77,Very Good,Rotating,01-08-2016
